label,text
ham,Hey are we meeting today?
spam,Win a free iPhone now
ham,Can you call me later?
spam,Congratulations you won a cash prize
ham,Let's have lunch tomorrow
spam,Limited offer claim your reward now
ham,Are you coming to class today?
spam,You have been selected for a free gift
ham,Please send me the report
spam,Click here to win big money
ham,See you in the evening
spam,Exclusive deal just for you
ham,Don't forget the meeting
spam,Free entry in a lucky draw
ham,I'll message you later
spam,Urgent you have won
